frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
46,9,4,2,0,0,15,0.6
47,12,4,2,0,0,18,0.6666666666666666
48,12,4,2,0,0,18,0.6666666666666666
49,10,4,2,0,0,16,0.625
50,12,3,1,0,0,16,0.75
51,13,2,1,0,0,16,0.8125
52,12,3,2,0,0,17,0.7058823529411765
53,11,3,1,0,0,15,0.7333333333333333
54,12,4,2,0,0,18,0.6666666666666666
55,12,4,2,0,0,18,0.6666666666666666
56,14,4,1,0,0,19,0.7368421052631579
57,13,4,1,0,0,18,0.7222222222222222
58,11,4,2,0,0,17,0.6470588235294118
59,9,4,2,0,0,15,0.6
60,12,4,1,0,0,17,0.7058823529411765
61,10,4,2,0,0,16,0.625
62,11,3,3,0,0,17,0.6470588235294118
63,11,4,3,0,0,18,0.6111111111111112
64,10,3,2,0,0,15,0.6666666666666666
65,11,4,2,0,0,17,0.6470588235294118
66,10,4,2,0,0,16,0.625
67,12,3,2,0,0,17,0.7058823529411765
68,12,4,2,0,0,18,0.6666666666666666
69,11,4,2,0,0,17,0.6470588235294118
70,11,4,1,0,0,16,0.6875
71,10,3,2,0,0,15,0.6666666666666666
72,12,4,2,0,0,18,0.6666666666666666
73,10,3,2,0,0,15,0.6666666666666666
74,11,4,1,0,0,16,0.6875
75,11,4,2,0,0,17,0.6470588235294118
76,11,4,2,0,0,17,0.6470588235294118
77,10,4,2,0,0,16,0.625
78,10,4,2,0,0,16,0.625
79,11,4,3,0,0,18,0.6111111111111112
80,10,4,2,0,0,16,0.625
81,10,3,2,0,0,15,0.6666666666666666
82,9,3,2,0,0,14,0.6428571428571429
83,10,3,2,0,0,15,0.6666666666666666
84,14,4,1,0,0,19,0.7368421052631579
85,12,3,1,0,0,16,0.75
86,12,3,1,0,0,16,0.75
87,10,3,3,0,0,16,0.625
88,11,3,2,0,0,16,0.6875
89,10,3,1,0,0,14,0.7142857142857143
90,10,3,2,0,0,15,0.6666666666666666
91,10,3,2,0,0,15,0.6666666666666666
92,12,4,2,0,0,18,0.6666666666666666
93,10,4,2,0,0,16,0.625
94,10,4,3,0,0,17,0.5882352941176471
95,10,4,2,0,0,16,0.625
96,10,4,2,0,0,16,0.625
97,10,4,3,0,0,17,0.5882352941176471
98,12,3,2,0,0,17,0.7058823529411765
99,13,3,2,0,0,18,0.7222222222222222
100,11,3,2,0,0,16,0.6875
101,13,3,2,0,0,18,0.7222222222222222
102,10,3,2,0,0,15,0.6666666666666666
103,11,3,2,0,0,16,0.6875
104,10,4,2,0,0,16,0.625
105,11,3,2,0,0,16,0.6875
106,9,3,2,0,0,14,0.6428571428571429
107,13,3,2,0,0,18,0.7222222222222222
108,11,3,2,0,0,16,0.6875
109,12,3,2,0,0,17,0.7058823529411765
110,9,2,2,0,0,13,0.6923076923076923
111,13,3,2,0,0,18,0.7222222222222222
112,10,3,2,0,0,15,0.6666666666666666
113,12,3,2,0,0,17,0.7058823529411765
114,11,3,2,0,0,16,0.6875
115,11,3,3,0,0,17,0.6470588235294118
116,12,3,3,0,0,18,0.6666666666666666
117,10,3,2,0,0,15,0.6666666666666666
118,10,3,2,0,0,15,0.6666666666666666
119,13,3,2,0,0,18,0.7222222222222222
120,12,3,2,0,0,17,0.7058823529411765
121,12,3,2,0,0,17,0.7058823529411765
122,11,3,2,0,0,16,0.6875
123,10,3,3,0,0,16,0.625
124,11,3,1,0,0,15,0.7333333333333333
125,12,3,3,0,0,18,0.6666666666666666
126,10,4,3,0,0,17,0.5882352941176471
127,11,3,3,0,0,17,0.6470588235294118
128,11,3,1,0,0,15,0.7333333333333333
129,12,3,1,0,0,16,0.75
130,13,3,2,0,0,18,0.7222222222222222
131,10,3,2,0,0,15,0.6666666666666666
132,12,3,1,0,0,16,0.75
133,10,3,1,0,0,14,0.7142857142857143
134,12,3,1,0,0,16,0.75
135,11,3,1,0,0,15,0.7333333333333333
136,13,4,2,0,0,19,0.6842105263157895
137,13,4,1,0,0,18,0.7222222222222222
138,11,3,1,0,0,15,0.7333333333333333
139,11,4,2,0,0,17,0.6470588235294118
140,11,4,2,0,0,17,0.6470588235294118
141,13,3,1,0,0,17,0.7647058823529411
142,12,5,1,0,0,18,0.6666666666666666
143,12,3,2,0,0,17,0.7058823529411765
