seq_id,ligand_region,n_frames,window_start_ns,window_end_ns,gate_bridge_occupancy,latch_bridge_occupancy,co_occurrence_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,first_appearance_ns,n_runs,n_distinct_waters,mean_run_duration_ns,median_run_duration_ns,seq_type
pair_3103_binder,core,1334,0.0,500.0,0.9543,0.9813,0.9498,0.9295,1.048,5.25,42,250,11.0714,3.375,Binder
pair_3104_binder,core,1334,0.0,500.0,0.7061,0.6552,0.4978,0.3696,0.452,1.5,187,334,0.9886,0.375,Binder
pair_3108_binder,core,1334,0.0,500.0,0.6094,0.8748,0.5495,0.2669,0.3081,0.0,185,310,0.7216,0.375,Binder
bind_043_binder,core,1334,0.0,500.0,0.3193,0.8126,0.2804,0.2009,0.2031,1.875,163,179,0.6166,0.375,Binder
bind_080_binder,core,1334,0.0,500.0,0.2714,0.3838,0.2594,0.2466,0.2969,14.625,100,148,1.2338,0.75,Binder
bind_069_binder,core,1334,0.0,500.0,0.6109,0.7699,0.5082,0.3501,0.4453,3.75,190,303,0.9217,0.375,Binder
bind_076_binder,core,1334,0.0,500.0,0.1769,0.8531,0.1109,0.0832,0.0892,1.5,80,95,0.5203,0.375,Binder
bind_099_binder,core,1334,0.0,500.0,0.3126,0.1364,0.1057,0.06,0.0645,44.25,68,66,0.4412,0.375,Binder
bind_041_binder,core,1334,0.0,500.0,0.6027,0.7601,0.5615,0.4798,0.5652,3.375,191,433,1.2565,0.75,Binder
bind_100_binder,core,1334,0.0,500.0,0.7496,0.8756,0.7061,0.5652,0.6717,2.625,264,581,1.071,0.75,Binder
bind_110_binder,core,1334,0.0,500.0,0.4168,0.6574,0.3463,0.3246,0.3943,34.125,164,300,0.9901,0.375,Binder
bind_034_binder,core,1334,0.0,500.0,0.087,0.9723,0.087,0.0532,0.0555,3.75,57,54,0.4671,0.375,Binder
bind_088_binder,core,1334,0.0,500.0,0.075,0.2481,0.0375,0.0285,0.0292,1.5,33,36,0.4318,0.375,Binder
bind_102_binder,core,1334,0.0,500.0,0.7744,0.8643,0.7106,0.5382,0.593,0.0,303,691,0.8886,0.75,Binder
bind_101_binder,core,1334,0.0,500.0,0.2361,0.6349,0.2226,0.1934,0.2204,0.375,106,117,0.9127,0.375,Binder
bind_083_binder,core,1334,0.0,500.0,0.2894,0.8178,0.2811,0.2346,0.2421,33.0,165,180,0.7114,0.375,Binder
nonb_046_nb,core,1334,0.0,500.0,0.6612,0.7819,0.599,0.5412,0.6267,3.0,188,394,1.4402,0.5625,False Positive
nonb_017_nb,core,1334,0.0,500.0,0.099,0.8021,0.093,0.087,0.0885,6.375,14,11,3.1071,2.4375,False Positive
