seq_id,ligand_region,n_frames,window_start_ns,window_end_ns,gate_bridge_occupancy,latch_bridge_occupancy,co_occurrence_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,first_appearance_ns,n_runs,n_distinct_waters,mean_run_duration_ns,median_run_duration_ns,seq_type
nonb_051_nb,core,1334,0.0,500.0,0.4595,0.6792,0.3756,0.2841,0.3298,2.25,130,195,1.0933,0.75,False Positive
nonb_052_nb,core,1334,0.0,500.0,0.7511,0.931,0.7129,0.494,0.5352,0.375,240,595,1.0297,0.75,False Positive
nonb_053_nb,core,1334,0.0,500.0,0.5262,0.8808,0.4475,0.2759,0.2961,0.0,246,347,0.561,0.375,False Positive
nonb_054_nb,core,1334,0.0,500.0,0.9258,0.8306,0.7661,0.3688,0.3943,0.0,267,451,0.691,0.375,False Positive
nonb_056_nb,core,1334,0.0,500.0,0.5532,0.8913,0.4828,0.3036,0.3441,0.0,250,386,0.6075,0.375,False Positive
nonb_066_nb,core,1334,0.0,500.0,0.5682,0.8298,0.5255,0.4093,0.4565,0.0,98,186,2.0893,0.75,False Positive
nonb_067_nb,core,1334,0.0,500.0,0.1702,0.9655,0.1634,0.1267,0.1417,1.125,107,148,0.5923,0.375,False Positive
nonb_068_nb,core,1334,0.0,500.0,0.3366,0.7954,0.3066,0.1987,0.2046,53.625,159,214,0.625,0.375,False Positive
nonb_071_nb,core,1334,0.0,500.0,0.6469,0.5952,0.5172,0.4798,0.5472,0.0,109,258,2.2018,0.75,False Positive
nonb_072_nb,core,1334,0.0,500.0,0.3598,0.9003,0.3351,0.2114,0.2339,3.375,191,252,0.5537,0.375,False Positive
nonb_073_nb,core,1334,0.0,500.0,0.3748,0.0967,0.081,0.075,0.084,0.0,43,36,0.8721,0.375,False Positive
nonb_074_nb,core,1334,0.0,500.0,0.3988,0.0997,0.063,0.036,0.0375,1.125,13,18,1.3846,0.375,False Positive
nonb_075_nb,core,1334,0.0,500.0,0.5375,0.3801,0.3463,0.2639,0.2901,0.0,212,335,0.6226,0.375,False Positive
nonb_080_nb,core,1334,0.0,500.0,0.2699,0.928,0.2586,0.2159,0.2429,0.75,96,117,1.125,0.75,False Positive
nonb_081_nb,core,1334,0.0,500.0,0.6724,0.9595,0.6499,0.2669,0.2976,0.375,160,152,0.8344,0.375,False Positive
nonb_082_nb,core,1334,0.0,500.0,0.7076,0.7549,0.5907,0.4798,0.6694,0.0,150,520,1.6,0.75,False Positive
nonb_085_nb,core,1334,0.0,500.0,0.6297,0.8838,0.5765,0.443,0.4948,0.375,247,478,0.8973,0.375,False Positive
nonb_086_nb,core,1334,0.0,500.0,0.081,0.9783,0.081,0.0397,0.0412,108.75,39,50,0.5096,0.375,False Positive
nonb_087_nb,core,1334,0.0,500.0,0.6822,0.3261,0.2894,0.2324,0.2804,0.75,51,145,2.2794,0.375,False Positive
nonb_088_nb,core,1334,0.0,500.0,0.6477,0.4025,0.3156,0.2084,0.2204,0.0,180,92,0.5792,0.375,False Positive
nonb_089_nb,core,1334,0.0,500.0,0.5352,0.9535,0.5172,0.3103,0.3906,0.375,180,297,0.8625,0.375,False Positive
nonb_115_nb,core,1334,0.0,500.0,0.3088,0.9018,0.2916,0.2099,0.2256,0.75,180,237,0.5833,0.375,False Positive
nonb_116_nb,core,1334,0.0,500.0,0.515,0.9483,0.4933,0.2376,0.2601,0.0,205,319,0.5799,0.375,False Positive
nonb_117_nb,core,1334,0.0,500.0,0.2234,0.2219,0.1777,0.1627,0.1642,0.0,49,45,1.6607,0.375,False Positive
