Sequence,Group,Gate (r84-90) mean (A),Gate (r84-90) SD (A),Latch (r114-118) mean (A),Latch (r114-118) SD (A),Lb7a5 (r148-155) mean (A),Lb7a5 (r148-155) SD (A),C-term helix (r154-166) mean (A),C-term helix (r154-166) SD (A)
pair_3099_binder,Binder,0.4356,0.12878,0.0,,0.0,,0.0,
pair_3100_binder,Binder,0.028,0.0,0.0,,0.0,,0.0,
pair_3101_binder,Binder,0.608,0.0946,0.0,,0.0,,0.0,
pair_3103_binder,Binder,0.47625,0.09903,0.0,,0.0,,0.0,
pair_3104_binder,Binder,0.3946,0.08303,0.0,,0.0,,0.0,
pair_3108_binder,Binder,0.6038,0.20325,0.0,,0.0,,0.0,
seq1_nb,False Positive,0.8734,0.31011,0.0,,0.0,,0.0,
seq2_nb,False Positive,0.635,0.13013,0.0,,0.0,,0.0,
seq3_nb,False Positive,0.36983,0.08445,0.0,,0.0,,0.0,
seq4_nb,False Positive,0.43,0.0,0.0,,0.0,,0.0,
seq5_nb,False Positive,0.5799,0.14277,0.0,,0.0,,0.0,
seq6_nb,False Positive,0.50186,0.22295,0.0,,0.0,,0.0,
seq7_nb,False Positive,0.56917,0.03169,0.0,,0.0,,0.0,
pair_0052_nb,False Positive,0.349,0.03295,0.0,,0.0,,0.0,
pair_0091_nb,False Positive,0.389,0.08096,0.3734,0.06013,0.45475,0.05168,0.36969,0.07104
pair_0246_nb,False Positive,0.62475,0.12749,0.0,,0.0,,0.0,
pair_0269_nb,False Positive,0.29167,0.02419,0.0,,0.0,,0.0,
pair_0272_nb,False Positive,0.25943,0.05718,0.3034,0.05788,0.521,0.12566,0.42269,0.10473
pair_0276_nb,False Positive,0.50033,0.11949,0.0,,0.0,,0.0,
pair_0288_nb,False Positive,0.5655,0.10609,0.0,,0.0,,0.0,
pair_0351_nb,False Positive,0.8745,0.34025,0.0,,0.0,,0.0,
pair_0502_nb,False Positive,0.4965,0.09111,0.0,,0.0,,0.0,
pair_0506_nb,False Positive,0.31671,0.05882,0.472,0.10155,0.7765,0.18214,0.52738,0.13426
pair_0647_nb,False Positive,0.288,0.04613,0.0,,0.0,,0.0,
pair_0777_nb,False Positive,0.41667,0.0774,0.0,,0.0,,0.0,
pair_0827_nb,False Positive,0.384,0.11952,0.0,,0.0,,0.0,
pair_1824_nb,False Positive,0.479,0.17138,0.0,,0.0,,0.0,
pair_1939_nb,False Positive,0.4875,0.05256,0.0,,0.0,,0.0,
pair_0822_nb,False Positive,0.30014,0.0432,0.3028,0.0772,0.35737,0.05696,0.36292,0.08402
pair_0865_nb,False Positive,0.5408,0.158,0.0,,0.0,,0.0,
pair_0867_nb,False Positive,0.4972,0.09177,0.0,,0.0,,0.0,
pair_1860_nb,False Positive,0.248,0.006,0.0,,0.0,,0.0,
pair_1965_nb,False Positive,0.0,,0.30914,0.04431,0.2872,0.0412,0.34025,0.05162
pair_0341_nb,False Positive,0.236,0.0,0.0,,0.0,,0.0,
pair_0450_nb,False Positive,0.40267,0.08225,0.0,,0.0,,0.0,
pair_0549_nb,False Positive,0.90989,0.34554,0.0,,0.0,,0.0,
pair_0567_nb,False Positive,0.30229,0.05524,0.4574,0.07645,0.65025,0.13606,0.46162,0.09528
pair_0584_nb,False Positive,,,0.0,,0.0,,0.0,
pair_0602_nb,False Positive,0.3708,0.06038,0.0,,0.0,,0.0,
pair_0684_nb,False Positive,0.337,0.08205,0.0,,0.0,,0.0,
pair_0736_nb,False Positive,0.27871,0.05263,0.2916,0.05825,0.54625,0.11186,0.40338,0.10842
pair_0748_nb,False Positive,0.2525,0.07768,0.0,,0.0,,0.0,
pair_0765_nb,False Positive,0.3755,0.03047,0.0,,0.0,,0.0,
pair_0776_nb,False Positive,0.429,0.15081,0.0,,0.0,,0.0,
pair_0782_nb,False Positive,0.33243,0.06989,0.2054,0.01137,0.56275,0.1718,0.39392,0.08331
pair_0811_nb,False Positive,0.50443,0.12082,0.3474,0.07278,0.62262,0.11062,0.40808,0.08535
pair_0868_nb,False Positive,0.28275,0.03645,0.0,,0.0,,0.0,
pair_0876_nb,False Positive,0.3895,0.03931,0.0,,0.0,,0.0,
pair_0878_nb,False Positive,0.38771,0.06942,0.0,,0.0,,0.0,
pair_0883_nb,False Positive,0.34467,0.03173,0.0,,0.0,,0.0,
pair_0891_nb,False Positive,0.2946,0.04442,0.0,,0.0,,0.0,
pair_0908_nb,False Positive,0.44957,0.10943,0.0,,0.0,,0.0,
pair_0932_nb,False Positive,0.621,0.08203,0.0,,0.0,,0.0,
pair_0940_nb,False Positive,0.3782,0.09971,0.0,,0.0,,0.0,
pair_0974_nb,False Positive,0.58714,0.21054,0.0,,0.0,,0.0,
pair_0977_nb,False Positive,0.0,,0.0,,0.0,,0.0,
pair_1011_nb,False Positive,0.482,0.10142,0.0,,0.0,,0.0,
pair_1023_nb,False Positive,0.0,,0.0,,0.0,,0.0,
pair_1102_nb,False Positive,0.487,0.12223,0.0,,0.0,,0.0,
pair_1313_nb,False Positive,0.62533,0.22559,0.0,,0.0,,0.0,
pair_1397_nb,False Positive,0.028,0.0,0.0,,0.0,,0.0,
pair_1654_nb,False Positive,0.29157,0.04719,0.3208,0.06604,0.57425,0.09277,0.41692,0.09015
pair_1656_nb,False Positive,0.245,0.05021,0.0,,0.0,,0.0,
pair_1658_nb,False Positive,0.5525,0.18181,0.0,,0.0,,0.0,
pair_1671_nb,False Positive,0.59582,0.1546,0.0,,0.0,,0.0,
pair_1679_nb,False Positive,0.68138,0.15014,0.0,,0.0,,0.0,
pair_1709_nb,False Positive,0.5125,0.12931,0.0,,0.0,,0.0,
pair_1710_nb,False Positive,0.40125,0.05604,0.0,,0.0,,0.0,
pair_1737_nb,False Positive,0.288,0.05429,0.0,,0.0,,0.0,
pair_1758_nb,False Positive,0.204,0.06355,0.0,,0.0,,0.0,
pair_1784_nb,False Positive,0.15033,0.05311,0.0,,0.0,,0.0,
pair_1785_nb,False Positive,0.70933,0.16078,0.0,,0.0,,0.0,
pair_1792_nb,False Positive,0.5115,0.09875,0.0,,0.0,,0.0,
pair_1835_nb,False Positive,0.311,0.02893,0.0,,0.0,,0.0,
pair_1847_nb,False Positive,0.366,0.06642,0.0,,0.0,,0.0,
pair_1914_nb,False Positive,0.403,0.10264,0.0,,0.0,,0.0,
pair_1922_nb,False Positive,0.3706,0.03294,0.0,,0.0,,0.0,
pair_1938_nb,False Positive,0.35425,0.00597,0.0,,0.0,,0.0,
pair_1961_nb,False Positive,0.51067,0.11609,0.0,,0.0,,0.0,
pair_0008_low_pkt,Low Confidence,0.47433,0.13245,0.0,,0.0,,0.0,
pair_0393_low_pkt,Low Confidence,0.5054,0.12545,0.0,,0.0,,0.0,
pair_0482_low_pkt,Low Confidence,0.54883,0.12821,0.0,,0.0,,0.0,
pair_0482_nb,False Positive,0.41057,0.08656,0.3444,0.05251,0.72113,0.13891,0.431,0.14822
pair_1331_low_pkt,Low Confidence,0.66722,0.34397,0.0,,0.0,,0.0,
pair_1931_low_pkt,Low Confidence,0.25667,0.05138,0.0,,0.0,,0.0,
pair_0065_low_pkt,Low Confidence,0.503,0.05105,0.0,,0.0,,0.0,
pair_0947_low_pkt,Low Confidence,0.5885,0.14366,0.0,,0.0,,0.0,
pair_0948_low_pkt,Low Confidence,0.41,0.0,0.0,,0.0,,0.0,
pair_1413_low_pkt,Low Confidence,0.57933,0.19913,0.0,,0.0,,0.0,
pair_0715_fail_gate,Fail Geometry,0.7291,0.58941,0.0,,0.0,,0.0,
pair_1094_fail_gate,Fail Geometry,0.47925,0.09649,0.0,,0.0,,0.0,
pair_1682_fail_gate,Fail Geometry,0.545,0.07844,0.0,,0.0,,0.0,
pair_1739_fail_gate,Fail Geometry,0.54743,0.23077,0.0,,0.0,,0.0,
pair_1941_fail_gate,Fail Geometry,0.4135,0.08045,0.0,,0.0,,0.0,
pair_0014_fail_gate,Fail Geometry,0.91543,0.35546,0.0,,0.0,,0.0,
pair_0263_fail_gate,Fail Geometry,0.8685,0.23158,0.0,,0.0,,0.0,
pair_0540_fail_gate,Fail Geometry,0.59175,0.21067,0.0,,0.0,,0.0,
pair_0997_fail_gate,Fail Geometry,0.41857,0.07253,0.0,,0.0,,0.0,
pair_1745_fail_gate,Fail Geometry,0.24767,0.07036,0.0,,0.0,,0.0,
bind_019_binder,Binder,0.32271,0.0619,0.3516,0.04875,0.76438,0.11324,0.48385,0.12696
bind_020_binder,Binder,0.41029,0.13599,0.6838,0.16432,0.72987,0.11706,0.73592,0.34591
bind_022_binder,Binder,0.394,0.08188,0.3604,0.0654,0.99788,0.18893,0.27877,0.05277
bind_034_binder,Binder,0.32029,0.07111,0.4362,0.14799,0.3995,0.07255,0.40977,0.149
bind_041_binder,Binder,0.35686,0.06654,0.4118,0.06429,0.67375,0.16971,0.56492,0.17108
bind_043_binder,Binder,0.28214,0.05366,0.2744,0.05293,0.328,0.06218,0.36854,0.0514
bind_069_binder,Binder,0.28157,0.0579,0.3088,0.02657,0.48775,0.1038,0.42431,0.15049
bind_076_binder,Binder,0.30414,0.06444,0.3804,0.06303,0.47375,0.06733,0.28215,0.04378
bind_080_binder,Binder,0.27414,0.04863,0.3182,0.04473,0.63637,0.1049,0.28223,0.05824
bind_083_binder,Binder,0.34014,0.05513,0.3356,0.10327,0.5395,0.10821,0.55092,0.12223
bind_088_binder,Binder,0.39571,0.09781,0.2566,0.05093,0.43425,0.03486,0.26538,0.04598
bind_099_binder,Binder,0.40257,0.09501,0.3862,0.10183,0.46363,0.10518,0.50631,0.15205
bind_100_binder,Binder,0.35243,0.08015,0.3346,0.07567,0.61475,0.18193,0.59085,0.23946
bind_101_binder,Binder,0.30086,0.04747,0.3314,0.10503,0.43563,0.06601,0.40062,0.12061
bind_102_binder,Binder,1.03714,0.33494,0.9834,0.39881,0.62175,0.1475,0.37477,0.08566
bind_110_binder,Binder,0.317,0.04919,0.2956,0.07078,0.63675,0.14421,0.46731,0.1136
